時刻,重量[kg],気温[℃],湿度[%],気圧[hPa],
2021/04/02(16:28:23),0.01,23.88,40.0,1023.15,
2021/04/02(16:28:24),0.009,23.89,40.0,1023.17,
2021/04/02(16:28:25),0.004,23.88,40.0,1023.16,
2021/04/02(16:28:27),-0.0,23.88,40.0,1023.16,
2021/04/02(16:28:28),14.912,23.87,40.0,1023.16,
2021/04/02(16:28:30),17.863,23.87,41.0,1023.16,
2021/04/02(16:28:31),1.146,23.88,40.0,1023.2,
2021/04/02(16:28:33),0.105,23.87,40.0,1023.17,
2021/04/02(16:28:34),8.585,23.87,40.0,1023.17,
2021/04/02(16:28:35),8.942,23.87,40.0,1023.16,
2021/04/02(16:28:37),8.554,23.88,40.0,1023.18,
2021/04/02(16:28:38),7.65,23.88,40.0,1023.16,
